1bjp,5000,0.01,1,4273,1,0.613935056
1bjp,5000,0.01,0.95,2789,1,0.611192032
1bjp,5000,0.01,0.9,2064,1,0.609994813
1bjp,5000,0.01,0.8,1317,1,0.60930387
1bjp,5000,0.01,0.7,806,1,0.606843034
1bjp,5000,1.00E-06,1,2580,1,0.607623197
1bjp,5000,1.00E-06,0.95,1640,1,0.603384168
1bjp,5000,1.00E-06,0.9,1197,1,0.600620396
1bjp,5000,1.00E-06,0.8,740,1,0.595038904
1bjp,5000,1.00E-06,0.7,428,1,0.596016184
1bjp,5000,1.00E-09,1,939,1,0.569953315
1bjp,5000,1.00E-09,0.95,650,1,0.56854653
1bjp,5000,1.00E-09,0.9,503,1,0.566666667
1bjp,5000,1.00E-09,0.8,332,1,0.562761697
1bjp,5000,1.00E-09,0.7,190,1,0.563911194
1bjp,5000,1.00E-12,1,350,1,0.556829547
1bjp,5000,1.00E-12,0.95,218,1,0.55967424
1bjp,5000,1.00E-12,0.9,157,1,0.550822699
1bjp,5000,1.00E-12,0.8,96,1,0.547978006
1bjp,5000,1.00E-12,0.7,56,1,0.546297334
1bjp,5000,1.00E-15,1,242,1,0.548926237
1bjp,5000,1.00E-15,0.95,133,1,0.55200332
1bjp,5000,1.00E-15,0.9,87,1,0.542668327
1bjp,5000,1.00E-15,0.8,45,1,0.540933707
1bjp,5000,1.00E-15,0.7,21,1,0.538236332
1bjp,5000,1.00E-18,1,184,1,0.538377425
1bjp,5000,1.00E-18,0.95,90,1,0.540728291
1bjp,5000,1.00E-18,0.9,54,1,0.531258429
1bjp,5000,1.00E-18,0.8,25,1,0.528569354
1bjp,5000,1.00E-18,0.7,9,1,0.509644154
1bjp,5000,1.00E-21,1,119,1,0.532453574
1bjp,5000,1.00E-21,0.95,54,1,0.531519867
1bjp,5000,1.00E-21,0.9,30,1,0.530569561
1bjp,5000,1.00E-21,0.8,13,1,0.523861396
1bjp,5000,1.00E-21,0.7,6,1,0.511970121
1bjp,5000,1.00E-24,1,59,1,0.522359166
1bjp,5000,1.00E-24,0.95,24,1,0.524077186
